date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-05-27,2383,台光電,706.0,3706730.0,26.17,688.37,628.54,588.52,surge,2025-05-08,13,0.839,A,252974696600
2025-05-27,6669,緯穎,2325.0,2392777.0,55.63,2282.16,2142.59,2124.33,surge,2025-05-02,17,0.823,A,432079860000
2025-05-27,2345,智邦,721.0,2829872.0,20.4,697.33,658.45,647.03,surge,2025-04-29,19,0.77,A,404566005900
2025-05-28,2603,長榮,249.0,18242127.0,45.42,238.86,224.68,218.18,gap,2025-05-13,11,0.839,A,539095707000
2025-05-28,2383,台光電,721.0,5294655.0,38.17,691.48,631.57,590.71,surge,2025-05-08,14,0.83,A,258349513100
2025-05-28,6669,緯穎,2380.0,2421423.0,57.63,2291.48,2150.38,2128.56,surge,2025-05-02,18,0.807,A,442301104000
2025-05-29,2383,台光電,749.0,10167639.0,76.16,696.95,635.42,593.33,surge,2025-05-08,15,0.808,A,268382503900
2025-05-29,6669,緯穎,2420.0,3788414.0,91.68,2303.72,2159.22,2133.38,surge,2025-05-02,19,0.789,A,449734736000
2025-06-02,2603,長榮,247.0,14575424.0,36.0,240.12,226.04,219.09,gap,2025-05-13,13,0.848,A,534765621000
2025-06-02,2383,台光電,758.0,7093676.0,53.77,702.77,639.44,596.05,surge,2025-05-08,16,0.815,A,271607393800
2025-06-03,2603,長榮,252.5,14469172.0,36.53,241.3,226.91,219.64,gap,2025-05-13,14,0.83,A,546673357500
2025-06-03,2383,台光電,784.0,8890514.0,69.7,710.5,644.18,599.16,surge,2025-05-08,17,0.79,A,280923742400
2025-06-04,2408,南亞科,49.25,228816694.0,112.69,45.27,42.23,41.13,surge,2025-06-04,0,0.848,A,152607424075
2025-06-04,2603,長榮,251.5,25870205.0,65.06,242.27,227.71,220.17,gap,2025-05-13,15,0.835,A,544508314500
2025-06-04,2383,台光電,780.0,4922759.0,38.4,717.12,648.63,602.14,surge,2025-05-08,18,0.792,A,279490458000
2025-06-05,2408,南亞科,52.5,220404931.0,115.71,45.95,42.56,41.32,surge,2025-06-04,1,0.802,A,162677964750
2025-06-05,2383,台光電,789.0,3119049.0,24.61,723.97,653.24,605.23,surge,2025-05-08,19,0.776,A,282715347900
2025-06-06,2408,南亞科,52.0,161087028.0,83.77,46.53,42.87,41.49,surge,2025-06-04,2,0.818,A,161128650800
2025-06-09,2408,南亞科,51.7,116497517.0,60.23,47.02,43.16,41.66,surge,2025-06-04,3,0.831,A,160199062430
2025-06-10,2383,台光電,890.0,10964327.0,97.58,753.05,670.42,616.35,surge,2025-06-10,0,0.814,A,318905779000
2025-06-10,2408,南亞科,54.3,152748796.0,82.94,47.72,43.53,41.87,surge,2025-06-04,4,0.801,A,168255494970
2025-06-11,2383,台光電,873.0,7619441.0,66.52,764.47,677.06,620.6,surge,2025-06-10,1,0.833,A,312814320300
2025-06-11,2408,南亞科,52.7,117280175.0,61.81,48.19,43.83,42.05,surge,2025-06-04,5,0.833,A,163297690330
2025-06-12,2408,南亞科,54.1,81256150.0,43.96,48.75,44.17,42.25,surge,2025-06-04,6,0.816,A,167635769390
2025-06-13,2408,南亞科,53.5,106796704.0,57.14,49.21,44.47,42.44,surge,2025-06-04,7,0.824,A,165776592650
2025-06-16,2383,台光電,879.0,3976043.0,34.95,790.9,695.03,632.55,surge,2025-06-10,4,0.837,A,314964246900
2025-06-16,2408,南亞科,52.9,131943382.0,69.8,49.56,44.75,42.61,surge,2025-06-04,8,0.831,A,163917415910
2025-06-17,2408,南亞科,53.8,73229269.0,39.4,49.96,45.05,42.79,surge,2025-06-04,9,0.814,A,166706181020
2025-06-18,2408,南亞科,59.1,182835587.0,108.06,50.83,45.51,43.06,surge,2025-06-18,0,0.816,A,183128908890
2025-06-18,1519,華城,595.0,17639042.0,104.95,498.43,486.06,507.59,surge,2025-06-18,0,0.806,B,187949076000
2025-06-19,2408,南亞科,60.4,235233977.0,142.08,51.74,45.99,43.35,surge,2025-06-18,1,0.801,A,187157125160
2025-06-19,1519,華城,580.0,12370173.0,71.75,506.2,489.14,508.79,surge,2025-06-18,1,0.827,B,183210864000
2025-06-20,2408,南亞科,58.9,150606170.0,88.71,52.42,46.42,43.61,surge,2025-06-18,2,0.826,A,182509183310
2025-06-23,2408,南亞科,58.4,96552674.0,56.39,52.99,46.81,43.85,surge,2025-06-18,3,0.839,A,180959869360
2025-06-23,1519,華城,572.0,6219669.0,35.58,517.45,494.23,510.73,surge,2025-06-18,3,0.839,B,180683817600
2025-06-24,1519,華城,566.0,6795972.0,38.47,522.07,496.59,511.64,surge,2025-06-18,4,0.848,B,178788532800
2025-06-25,1519,華城,567.0,2923111.0,16.57,526.35,498.89,512.56,surge,2025-06-18,5,0.849,B,179104413600
2025-06-26,2360,致茂,430.0,8522500.0,36.65,361.76,341.96,340.27,surge,2025-06-26,0,0.817,A,182855651000
2025-06-26,1519,華城,572.0,6711977.0,38.39,530.7,501.29,513.54,surge,2025-06-18,6,0.842,B,180683817600
2025-06-27,2360,致茂,429.5,8142014.0,34.97,368.21,344.83,341.74,surge,2025-06-26,1,0.821,A,182643028150
2025-06-27,1519,華城,576.0,3205541.0,18.46,535.01,503.74,514.57,surge,2025-06-18,7,0.838,B,181947340800
2025-06-30,2360,致茂,442.5,6407782.0,28.35,375.28,348.03,343.41,surge,2025-06-26,2,0.799,A,188171222250
2025-07-01,2360,致茂,438.5,6281256.0,27.54,381.3,351.0,344.98,surge,2025-06-26,3,0.809,A,186470239450
2025-07-01,1519,華城,578.0,3389968.0,19.59,541.52,508.05,516.41,surge,2025-06-18,9,0.844,B,182579102400
2025-07-02,3443,創意,1325.0,1802975.0,23.89,1189.26,1158.94,1176.94,surge,2025-06-27,3,0.85,B,177565767500
2025-07-02,2360,致茂,437.5,2915727.0,12.76,386.66,353.83,346.51,surge,2025-06-26,4,0.812,A,186044993750
2025-07-03,2360,致茂,434.5,3636899.0,15.8,391.21,356.48,347.96,surge,2025-06-26,5,0.819,A,184769256650
2025-07-04,2360,致茂,435.0,2036523.0,8.86,395.38,359.05,349.4,surge,2025-06-26,6,0.821,A,184981879500
2025-07-07,2360,致茂,432.5,1835377.0,7.94,398.92,361.46,350.78,surge,2025-06-26,7,0.827,A,183918765250
2025-07-08,2360,致茂,428.0,5025401.0,21.51,401.69,363.64,352.05,surge,2025-06-26,8,0.838,A,182005159600
2025-07-09,2360,致茂,425.0,2448291.0,10.41,403.91,365.65,353.26,surge,2025-06-26,9,0.848,A,180729422500
2025-07-10,2360,致茂,426.0,2874472.0,12.25,406.01,367.63,354.46,surge,2025-06-26,10,0.846,A,181154668200
