date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap,exit_10pct_date,max_return_20d,ema20_cross_date,first_r_date
2024-03-15,1519,華城,665.0,22332592.0,148.51,540.53,452.12,377.26,surge,2024-03-14,1,0.793,A,210060732000,,42.26,2024-03-08,False
2024-03-15,2834,臺企銀,16.35,207519795.0,33.93,14.55,13.93,13.72,gap,2024-03-14,1,0.854,A,158890310430,,-0.92,2024-02-23,False
2024-03-15,2454,聯發科,1135.0,8765752.0,99.49,1131.71,1034.01,954.66,surge,2024-02-23,14,0.864,A,1820440347000,,5.73,2024-02-19,False
2024-03-18,2317,鴻海,136.0,241783637.0,328.83,114.1,107.86,105.85,gap,2024-03-15,1,0.786,A,1904462835200,,16.91,2024-03-08,False
2024-03-18,1519,華城,694.0,15962506.0,110.78,555.14,460.05,382.49,surge,2024-03-14,2,0.762,A,219221275200,,36.89,2024-03-08,False
2024-03-18,2834,臺企銀,15.8,86515046.0,13.67,14.67,13.99,13.76,gap,2024-03-14,2,0.886,A,153545376440,,2.53,2024-02-23,False
2024-03-18,2454,聯發科,1170.0,6022543.0,70.46,1135.36,1038.47,958.22,surge,2024-02-23,15,0.839,A,1876577274000,2024-04-17,2.56,2024-02-19,False
2024-03-19,4938,和碩,100.0,64514743.0,64.51,88.16,85.41,82.87,surge,2024-03-19,0,0.865,A,268216510000,,4.5,2024-03-11,True
2024-03-19,2317,鴻海,136.0,173862333.0,236.45,116.18,108.78,106.34,gap,2024-03-15,2,0.788,A,1904462835200,,16.91,2024-03-08,False
2024-03-19,1519,華城,660.0,1029559.0,6.8,565.13,466.61,387.08,surge,2024-03-14,3,0.804,A,208481328000,,44.7,2024-03-08,False
2024-03-19,2454,聯發科,1150.0,8911458.0,102.48,1136.75,1042.13,961.39,surge,2024-02-23,16,0.857,A,1844499030000,,4.35,2024-02-19,False
2024-03-20,4938,和碩,103.5,85511573.0,88.5,89.62,86.01,83.21,surge,2024-03-19,1,0.837,A,277604087850,,0.97,2024-03-11,False
2024-03-20,2317,鴻海,138.0,206917477.0,285.55,118.26,109.74,106.87,gap,2024-03-15,3,0.779,A,1932469641600,,15.22,2024-03-08,False
2024-03-20,1519,華城,676.0,709986.0,4.8,575.69,473.47,391.85,surge,2024-03-14,4,0.788,A,213535420800,,41.27,2024-03-08,False
2024-03-20,2454,聯發科,1130.0,6413758.0,72.48,1136.11,1045.01,964.18,surge,2024-02-23,17,0.878,A,1812420786000,2024-04-19,6.19,2024-02-19,False
2024-03-21,4938,和碩,104.5,45342054.0,47.38,91.04,86.61,83.56,surge,2024-03-19,2,0.829,A,280286252950,,-2.39,2024-03-11,False
2024-03-21,2317,鴻海,142.5,185853649.0,264.84,120.57,110.82,107.46,gap,2024-03-15,4,0.756,A,1995484956000,,11.58,2024-03-08,False
2024-03-21,1519,華城,700.0,840251.0,5.88,587.53,480.9,396.95,surge,2024-03-14,5,0.764,A,221116560000,,36.43,2024-03-08,False
2024-03-21,2834,臺企銀,15.75,49735942.0,7.83,14.92,14.14,13.85,gap,2024-03-14,5,0.896,A,153059473350,,3.81,2024-02-23,False
2024-03-21,2454,聯發科,1140.0,6662414.0,75.95,1136.48,1048.12,967.08,surge,2024-02-23,18,0.875,A,1828459908000,2024-04-19,5.26,2024-03-20,True
2024-03-22,4938,和碩,102.0,28473029.0,29.04,92.08,87.12,83.87,surge,2024-03-19,3,0.85,A,273580840200,,0.0,2024-03-11,False
2024-03-22,2317,鴻海,145.5,240446038.0,349.85,122.94,111.95,108.09,gap,2024-03-15,5,0.742,A,2037495165600,,9.28,2024-03-08,False
2024-03-22,1519,華城,714.0,635013.0,4.53,599.57,488.54,402.19,surge,2024-03-14,6,0.751,A,225538891200,,33.75,2024-03-08,False
2024-03-22,2834,臺企銀,15.75,28981006.0,4.56,15.0,14.2,13.88,gap,2024-03-14,6,0.899,A,153059473350,,5.4,2024-02-23,False
2024-03-25,1519,華城,785.0,918468.0,7.21,617.23,498.26,408.52,surge,2024-03-25,0,0.748,A,247966428000,2024-03-28,21.66,2024-03-08,False
2024-03-25,1503,士電,299.0,8982353.0,26.86,214.49,168.23,145.89,surge,2024-03-25,0,0.667,A,155770687800,,15.22,2024-02-15,True
2024-03-25,4938,和碩,101.5,22551514.0,22.89,92.98,87.59,84.16,surge,2024-03-19,4,0.854,A,272239757650,,0.49,2024-03-11,False
2024-03-25,2317,鴻海,145.5,146548712.0,213.23,125.09,113.05,108.7,gap,2024-03-15,6,0.745,A,2037495165600,,9.28,2024-03-08,False
2024-03-26,1503,士電,320.0,9031530.0,28.9,224.54,173.2,148.77,surge,2024-03-26,0,0.643,A,166711104000,2024-03-28,7.66,2024-02-15,False
2024-03-26,1519,華城,788.0,968271.0,7.63,633.5,507.76,414.79,surge,2024-03-25,1,0.746,A,248914070400,2024-03-28,21.19,2024-03-08,False
2024-03-26,4938,和碩,97.8,32388390.0,31.68,93.44,87.92,84.38,surge,2024-03-19,5,0.887,A,262315746780,,4.29,2024-03-11,False
2024-03-26,2317,鴻海,142.0,183134455.0,260.05,126.7,114.0,109.25,gap,2024-03-15,7,0.766,A,1988483254400,,11.97,2024-03-08,False
2024-03-27,4938,和碩,98.4,13581651.0,13.36,93.91,88.27,84.62,surge,2024-03-19,6,0.882,A,263925045840,,3.66,2024-03-11,False
2024-03-27,2317,鴻海,148.5,147441892.0,218.95,128.78,115.13,109.9,gap,2024-03-15,8,0.735,A,2079505375200,,7.07,2024-03-08,False
2024-03-28,2382,廣達,280.0,97361040.0,272.61,253.54,241.62,227.72,surge,2024-03-28,0,0.889,A,1081535672000,2024-04-16,6.43,2024-03-14,True
